,stature,weightkg,waistcircumference,buttockcircumference
939,163.10000000000002,66.0,865,998
940,168.4,80.4,1054,1190
941,171.5,85.2,973,1163
942,163.5,66.2,947,966
943,166.60000000000002,70.60000000000001,902,1041
944,170.5,57.7,782,909
945,162.9,52.6,755,905
946,171.8,80.80000000000001,990,1098
947,162.60000000000002,83.4,972,1126
948,161.60000000000002,75.0,922,1069
949,160.20000000000002,61.900000000000006,895,1031
950,166.70000000000002,67.5,885,1034
951,164.5,70.2,910,1023
952,167.0,65.9,827,1000
953,162.10000000000002,71.2,840,1085
954,172.10000000000002,102.80000000000001,1032,1196
955,160.60000000000002,75.9,903,1061
956,156.70000000000002,65.9,875,1005
957,172.0,64.4,790,979
958,163.9,68.9,875,1063
959,173.0,86.30000000000001,983,1110
960,168.20000000000002,94.9,1139,1168
961,172.0,63.0,792,995
962,178.3,106.9,1133,1181
963,164.10000000000002,63.900000000000006,881,991
964,156.8,68.3,907,1101
965,164.0,63.0,850,994
966,155.60000000000002,71.8,945,1054
967,164.70000000000002,87.4,1069,1160
968,163.0,75.2,920,1111
969,158.70000000000002,85.2,1095,1157
970,162.70000000000002,82.7,1039,1098
971,163.8,55.900000000000006,765,936
972,164.4,82.10000000000001,1042,1078
973,160.3,66.3,880,990
974,171.3,63.800000000000004,811,978
975,172.10000000000002,79.9,987,1114
976,157.3,58.900000000000006,793,999
977,161.9,76.10000000000001,918,1102
978,152.4,67.2,1040,1060
979,160.5,54.1,803,901
980,161.70000000000002,69.7,838,983
981,160.10000000000002,61.6,878,988
982,170.3,85.2,1040,1148
983,157.4,58.2,785,957
984,159.60000000000002,74.2,943,1027
985,160.20000000000002,60.900000000000006,800,966
986,159.9,69.0,916,1026
987,163.20000000000002,67.5,961,1013
988,166.0,88.60000000000001,1065,1159
989,156.8,65.2,847,1046
990,163.9,82.60000000000001,1020,1158
991,159.10000000000002,55.6,790,904
992,162.8,71.9,887,1080
993,161.5,82.2,975,1088
994,168.0,96.5,1100,1205
995,159.0,62.400000000000006,896,982
996,156.3,43.5,660,854
997,164.10000000000002,75.3,1021,1022
998,171.0,55.300000000000004,790,900
999,156.60000000000002,57.800000000000004,816,989
1000,157.3,71.3,966,1048
1001,166.9,77.60000000000001,966,1083
1002,160.70000000000002,65.5,809,985
1003,163.3,57.800000000000004,787,890
1004,169.9,84.30000000000001,907,1089
1005,163.8,67.0,877,1002
1006,163.4,76.4,878,1102
1007,166.0,66.3,734,982
1008,160.4,67.10000000000001,861,1010
1009,169.3,70.60000000000001,885,961
1010,159.5,63.6,820,985
1011,169.4,64.60000000000001,796,962
1012,162.60000000000002,65.8,835,975
1013,161.3,78.9,922,1092
1014,161.4,58.5,769,963
1015,163.0,58.900000000000006,812,959
1016,171.60000000000002,78.5,973,1063
1017,151.0,67.60000000000001,952,1021
1018,163.9,86.2,1113,1110
1019,157.60000000000002,60.5,907,952
1020,167.70000000000002,95.0,1068,1156
1021,166.9,64.9,843,955
1022,159.20000000000002,61.6,755,999
1023,160.60000000000002,71.5,910,1025
1024,159.70000000000002,76.5,943,1102
1025,161.0,65.2,819,1045
1026,181.10000000000002,77.30000000000001,905,1104
1027,163.9,73.4,1018,1087
1028,163.5,54.900000000000006,757,928
1029,175.10000000000002,80.2,893,1092
1030,162.60000000000002,69.5,849,1041
1031,168.8,64.7,768,990
1032,158.8,65.7,850,1051
1033,163.5,87.10000000000001,1090,1139
